"REF_DATE","GEO","DGUID","Traveller category","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-01","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","2628086","","","","0"
"2019-02","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","2600212","","","","0"
"2019-03","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","2699746","","","","0"
"2019-04","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","2713482","","","","0"
"2019-05","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","2740810","","","","0"
"2019-06","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","2709508","","","","0"
"2019-07","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","2723618","","","","0"
"2019-08","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","2719064","","","","0"
"2019-09","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","2732690","","","","0"
"2019-10","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","2714274","","","","0"
"2019-11","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","2687348","","","","0"
"2019-12","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","2760918","","","","0"
"2020-01","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","1800393","","","","0"
"2020-02","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","1691069","","","","0"
"2020-03","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","743529","","","","0"
"2020-04","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","59919","","","","0"
"2020-05","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","58724","","","","0"
"2020-06","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","63272","","","","0"
"2020-07","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","60189","","","","0"
"2020-08","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","73437","","","","0"
"2020-09","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","95803","","","","0"
"2020-10","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","120992","","","","0"
"2020-11","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","151313","","","","0"
"2020-12","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","149709","","","","0"
"2021-01","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","168003","","","","0"
"2021-02","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","147574","","","","0"
"2021-03","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","160223","","","","0"
"2021-04","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","151545","","","","0"
"2021-05","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","124156","","","","0"
"2021-06","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","106309","","","","0"
"2021-07","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","136653","","","","0"
"2021-08","Canada","2016A000011124","Total non resident travellers","Persons","249","units","0","v129449","1.1","350521","","","","0"
"2019-01","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","4573372","","","","0"
"2019-02","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","4645992","","","","0"
"2019-03","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","4780836","","","","0"
"2019-04","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","4680892","","","","0"
"2019-05","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","4677576","","","","0"
"2019-06","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","4637628","","","","0"
"2019-07","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","4676528","","","","0"
"2019-08","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","4631124","","","","0"
"2019-09","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","4682676","","","","0"
"2019-10","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","4664704","","","","0"
"2019-11","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","4684752","","","","0"
"2019-12","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","4821308","","","","0"
"2020-01","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","4486076","","","","0"
"2020-02","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","4643772","","","","0"
"2020-03","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","2848440","","","","0"
"2020-04","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","168697","","","","0"
"2020-05","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","186968","","","","0"
"2020-06","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","268997","","","","0"
"2020-07","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","268929","","","","0"
"2020-08","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","285133","","","","0"
"2020-09","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","336860","","","","0"
"2020-10","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","355648","","","","0"
"2020-11","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","352587","","","","0"
"2020-12","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","403234","","","","0"
"2021-01","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","414724","","","","0"
"2021-02","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","340336","","","","0"
"2021-03","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","273826","","","","0"
"2021-04","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","325918","","","","0"
"2021-05","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","360488","","","","0"
"2021-06","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","413999","","","","0"
"2021-07","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","514524","","","","0"
"2021-08","Canada","2016A000011124","Total Canadian travellers returning from abroad","Persons","249","units","0","v129471","1.4","714754","","","","0"


